papers,citations_all,citations_self,hindex_external,hindex_both
30,700,64,10.55,11.47
5,258,2,3.03,3.02
26,518,31,6.19,7.53
100,10396,182,12.18,14.51
84,2999,160,14.71,18.39
127,8460,531,20.68,26.66
6,110,5,2.74,2.71
11,130,3,3.76,3.79
2,55,0,1.0,1.0
13,214,16,5.35,5.58
2,55,0,1.0,1.0
13,360,13,4.8,4.76
11,271,7,4.79,4.85
2,55,0,1.0,1.0
3,61,0,2.0,2.0
4,57,1,2.0,2.0
6,75,2,3.31,3.25
8,75,1,3.75,3.59
12,133,3,5.29,5.09
518,21338,3000,58.13,67.6
7,71,2,4.02,3.74
7,84,2,3.28,3.27
7,83,0,4.07,4.02
8,120,9,3.77,3.82
4,58,0,4.0,3.99
25,659,53,7.21,7.6
54,4393,125,11.31,13.31
90,6979,325,21.68,23.88
12,203,5,4.29,4.15
5,61,1,2.0,2.0
249,51452,492,23.58,30.92
96,3683,220,16.31,18.62
58,2756,137,15.75,16.99
63,2060,130,14.73,15.6
5,63,0,3.0,3.0
146,23452,883,36.34,45.91
15,185,18,3.74,3.93
8,331,4,4.09,4.12
5,22,4,2.25,2.15
4,18,4,1.95,2.51
67,4094,126,15.22,16.07
6,98,2,2.45,2.46
5,104,4,2.62,2.55
4,52,2,3.84,3.82
9,119,2,3.41,3.34
3,61,0,2.85,2.88
4,88,0,2.63,2.51
6,62,2,2.81,2.71
5,52,2,3.85,3.83
39,1102,56,8.98,9.83
4,95,0,2.15,2.04
5,74,1,2.6,2.64
2,33,0,2.0,2.0
57,3390,170,11.51,12.82
4,34,1,3.0,3.0
3,34,1,2.0,2.0
3,79,0,1.29,1.36
2,33,0,2.0,2.0
6,75,0,3.27,3.28
2,33,0,2.0,2.0
2,33,0,2.0,2.0
2,33,0,2.0,2.0
2,33,0,2.0,2.0
2,33,0,2.0,2.0
2,33,0,2.0,2.0
2,33,0,2.0,2.0
2,33,0,2.0,2.0
2,33,0,2.0,2.0
2,33,0,2.0,2.0
2,33,0,2.0,2.0
24,484,17,6.02,6.18
5,456,2,2.96,3.0
3,36,0,3.0,3.0
9,132,3,3.95,3.93
51,1779,154,15.67,17.59
24,1139,64,9.63,9.96
35,1406,28,8.67,9.15
9,497,7,4.01,3.96
15,232,20,5.37,5.36
217,16694,929,31.28,40.5
106,5336,190,12.28,15.32
169,5678,684,26.82,31.31
71,2913,239,18.06,22.02
27,580,28,6.32,6.79
55,395,11,4.58,4.53
49,766,85,11.7,12.45
110,3891,53,17.76,18.26
14,189,4,4.36,4.46
1,46,0,1.0,1.0
87,3470,191,14.91,17.1
1,46,0,1.0,1.0
21,1122,13,9.0,8.78
7,149,1,5.29,5.26
1,46,0,1.0,1.0
71,705,78,12.58,12.96
1,46,0,1.0,1.0
99,3163,65,13.43,15.67
395,19001,733,49.13,57.02
1,46,0,1.0,1.0
1,46,0,1.0,1.0
3,53,0,2.81,2.73
60,544,99,10.22,10.72
5,74,1,4.13,3.98
25,227,6,7.77,7.63
1,46,0,1.0,1.0
2,53,0,2.0,2.0
1,46,0,1.0,1.0
168,4972,549,20.75,27.12
1,46,0,1.0,1.0
8,129,1,2.54,2.57
257,15098,550,28.76,32.64
10,84,5,3.99,3.96
5,66,3,3.0,3.0
13,424,0,4.26,4.31
258,11029,526,37.43,42.2
1,46,0,1.0,1.0
105,5080,287,23.04,26.79
95,2227,82,11.02,11.83
2,6,0,1.82,1.8
25,220,33,7.23,7.63
4,20,1,2.72,2.63
246,6734,494,39.93,42.24
242,11119,670,35.9,44.66
27,199,56,5.12,6.13
104,4161,144,11.42,13.53
327,18751,868,32.86,42.01
95,4463,200,19.38,21.56
58,1327,71,10.47,11.25
84,3816,275,21.59,25.09
21,470,31,6.47,7.12
1,2,0,1.0,1.0
52,1319,40,17.34,18.12
19,260,7,7.27,7.28
43,2330,58,19.24,19.42
36,1306,14,6.46,6.76
201,11480,192,22.99,25.12
675,55547,1353,68.62,81.63
47,529,40,11.46,11.2
41,355,54,7.53,7.58
46,1603,62,14.08,14.92
9,71,3,2.58,2.69
5,18,2,2.81,2.8
22,75,6,4.15,4.19
323,13256,1129,45.17,53.38
38,800,34,7.55,7.63
297,9537,810,23.5,30.2
517,27627,1137,52.03,56.92
5,382,3,2.98,2.99
9,33,0,3.14,3.06
2,1,0,1.0,1.0
7,357,3,3.22,3.27
12,1168,10,5.87,5.99
2,36,0,2.0,2.0
2,36,0,2.0,2.0
9,746,18,6.0,5.82
2,36,0,2.0,2.0
38,568,12,8.03,8.17
99,7494,227,19.06,22.23
55,4482,41,16.66,16.93
61,1578,34,12.21,12.38
62,3893,167,13.68,16.39
201,8985,994,32.76,40.61
814,32598,3005,64.88,77.19
22,1471,37,6.76,7.36
8,169,2,3.74,3.66
14,226,19,5.95,6.4
15,761,6,4.48,4.59
22,731,17,9.17,9.25
2,51,0,2.0,2.0
19,307,21,4.28,4.7
51,1414,83,14.42,14.72
20,443,29,6.62,6.95
236,6904,471,32.04,34.83
227,10149,333,28.36,31.78
107,5037,349,20.24,25.72
154,7440,253,21.1,23.28
23,201,9,7.41,7.37
57,2095,133,7.23,8.98
371,36571,1939,52.27,65.71
16,115,21,5.01,4.79
239,10489,1211,32.61,39.59
93,4499,209,21.97,24.71
26,836,37,8.88,9.69
103,2940,212,19.97,21.47
3,23,1,2.0,2.0
20,587,14,7.27,7.45
18,228,24,4.33,4.63
10,107,7,4.33,4.21
72,5693,96,24.0,24.05
26,338,57,5.89,6.23
385,14137,2150,37.82,43.7
116,2428,94,16.59,18.01
169,7176,920,27.04,33.93
59,1527,124,12.29,13.64
3,27,2,2.0,2.0
82,5608,147,21.51,23.74
9,50,10,4.36,4.37
70,1497,151,18.19,17.79
23,2691,38,10.45,10.82
107,4823,171,14.44,16.18
100,2784,415,20.29,22.15
79,6003,157,24.37,26.29
84,2308,135,18.29,19.13
35,1405,69,14.01,14.94
30,615,112,7.62,8.37
9,420,7,4.23,4.26
13,1193,10,6.16,6.4
63,17644,88,16.22,17.05
49,2874,63,10.21,10.87
8,492,4,3.56,3.48
20,195,6,6.07,6.29
5,82,2,3.0,3.01
11,232,4,4.38,4.37
17,1261,15,6.59,6.97
4,93,0,1.49,1.52
35,2473,31,10.49,10.67
167,14189,267,29.23,34.53
22,3641,23,6.87,7.6
71,4463,126,15.72,16.8
8,145,5,4.09,4.1
6,66,3,2.99,2.83
4,58,2,2.56,2.5
94,8799,175,21.77,23.01
83,11122,274,20.25,24.13
17,1078,14,7.85,8.06
99,12216,102,16.23,17.46
32,8719,13,13.21,13.05
9,93,3,3.88,4.0
83,10165,239,22.39,24.29
178,13986,455,36.13,41.67
14,139,10,3.41,3.69
179,8870,441,19.79,22.89
60,1285,18,16.98,17.15
64,2140,91,9.83,10.68
88,2444,62,16.41,16.79
38,1266,64,11.61,12.41
87,4411,59,18.63,19.09
547,24462,838,63.59,69.09
301,19753,654,43.22,51.14
169,4925,207,31.34,32.47
150,12415,605,29.59,35.88
51,499,22,7.88,7.54
13,188,2,4.07,4.06
43,1748,60,15.51,16.19
183,5622,150,37.32,38.83
192,9951,419,26.52,30.27
74,5998,64,25.53,26.64
38,711,9,2.19,2.25
149,2725,43,20.13,20.31
140,4267,140,19.84,22.14
58,1413,18,9.03,9.65
136,3134,142,16.75,17.95
45,549,20,6.89,7.06
51,5207,72,13.26,14.59
90,3273,144,14.95,17.14
139,6818,234,20.48,23.99
134,5959,160,16.68,17.68
84,4677,102,20.31,22.01
328,11053,279,36.17,38.03
215,18937,646,32.27,38.73
669,65151,2503,61.74,78.05
258,30763,1327,33.93,41.25
183,39877,525,29.18,34.42
68,3750,145,17.37,20.08
571,61257,2200,48.66,76.98
125,6061,261,18.22,21.97
58,1380,92,10.94,12.18
65,854,31,8.86,8.6
290,27683,1316,55.88,65.85
266,26525,1189,27.32,35.39
15,326,6,4.65,4.78
9,231,4,3.74,3.72
1,19,0,1.0,1.0
8,76,7,3.47,3.35
1,19,0,1.0,1.0
4,102,3,3.34,3.5
3,74,0,1.16,1.2
1,19,0,1.0,1.0
21,642,15,7.23,7.69
99,7323,240,14.86,17.95
37,2617,65,9.06,9.44
21,421,14,5.71,5.92
117,9025,620,15.78,22.76
669,23929,5674,46.7,55.79
151,4741,323,25.99,28.52
160,3840,670,23.02,27.3
197,5145,493,24.06,29.2
40,1269,85,11.37,12.25
146,2826,496,18.62,22.26
142,3820,573,18.93,23.03
68,1970,192,11.39,13.13
46,521,233,7.81,9.18
363,11911,1572,43.89,48.21
84,1994,131,12.15,13.11
168,3848,548,23.06,26.32
87,1088,164,14.81,15.45
421,18475,3349,45.09,55.03
226,7660,821,30.84,36.52
357,9326,1382,35.17,40.99
353,9695,2153,35.16,41.46
66,2309,162,18.17,19.3
12,137,32,5.38,5.32
325,11038,1085,36.14,43.53
359,10574,3083,30.77,36.2
258,6953,602,30.36,34.89
89,1457,341,11.68,12.7
199,3631,613,22.69,25.94
276,9388,1203,33.57,37.55
339,13147,1251,37.99,39.46
81,1106,395,12.86,13.41
87,1960,352,13.96,15.46
184,3875,615,24.46,26.47
86,1664,426,10.5,11.58
85,1440,412,11.91,13.15
12,105,3,5.08,4.85
45,3294,39,8.09,8.81
29,276,47,7.07,7.65
1,12,0,1.0,1.0
