papers,citations_all,citations_self,hindex_external,hindex_both
1184,117539,2917,63.65,87.6
40,4514,120,11.08,14.16
321,24983,795,48.32,56.09
54,4270,130,12.89,13.24
27,426,131,8.45,8.76
5,31,8,2.99,2.95
6,39,9,2.52,2.59
28,1822,48,7.57,7.59
37,543,82,8.01,8.78
55,1233,40,12.21,13.22
137,2042,364,19.91,21.34
50,1390,183,9.78,11.31
2,31,0,2.0,2.0
204,11744,1393,30.41,39.94
35,807,40,8.91,9.33
46,2352,74,7.59,8.59
44,3058,80,12.84,14.53
53,1393,72,12.38,13.59
27,670,10,6.62,6.76
175,9673,546,34.37,38.39
176,9537,659,29.99,38.16
242,16135,1054,43.0,53.55
136,13495,270,21.95,26.83
183,973,31,14.58,14.58
47,1755,27,12.67,12.62
13,359,7,5.1,5.01
1,150,0,1.0,1.0
7,215,1,5.9,5.89
1,150,0,1.0,1.0
2,165,1,2.0,2.0
5,179,3,2.97,3.0
106,5780,178,16.04,20.56
107,12912,311,17.5,20.4
34,470,15,6.16,6.13
44,2389,32,5.89,6.51
6,6,0,1.82,1.89
52,1089,119,11.34,12.12
129,3467,421,21.48,24.59
20,590,38,7.64,7.81
157,9470,640,29.78,35.87
177,4313,530,28.21,30.51
11,471,9,6.92,6.97
165,4884,527,22.74,26.18
228,9900,741,27.57,32.53
291,17158,1107,33.7,41.83
126,2246,356,16.02,19.22
211,7688,363,39.12,42.73
80,1805,170,18.78,20.23
31,849,25,8.78,9.37
111,6753,405,15.25,18.75
63,2108,147,11.67,13.25
459,43500,1778,63.16,79.45
17,467,12,8.39,8.6
9,169,1,4.0,4.0
333,15077,1490,34.7,47.06
12,97,0,7.63,7.6
65,1249,48,14.57,15.9
36,540,38,8.35,9.0
61,4278,273,17.25,19.65
195,17486,1492,30.65,42.16
165,6641,658,25.94,30.75
125,40455,645,31.32,35.48
61,4654,162,17.73,19.9
1,7,0,1.0,1.0
146,6498,759,24.02,28.93
43,748,43,8.05,8.41
30,427,57,6.7,6.9
157,11779,644,27.79,32.85
136,9955,905,28.81,36.86
22,485,35,6.4,6.94
2,15,1,2.0,1.97
3,22,3,2.51,2.66
6,54,2,2.1,2.02
6,25,2,1.86,1.98
5,20,0,2.71,2.59
6,72,8,3.51,3.7
68,2263,53,9.62,10.82
6,69,9,3.83,4.24
110,4761,430,15.6,21.54
52,3448,110,15.8,17.99
157,15462,709,34.43,43.47
138,8348,493,21.5,27.04
11,789,11,4.23,4.49
42,3264,77,13.45,14.2
3,5,0,1.47,1.43
4,17,1,1.38,1.43
134,3754,738,21.62,25.0
37,374,36,8.29,8.69
119,7882,294,27.04,28.87
146,15917,469,28.85,35.58
73,5410,299,20.75,23.29
39,3333,36,16.45,17.32
115,7419,192,16.17,20.97
63,4417,92,12.88,14.62
95,7914,383,19.69,25.19
150,5718,183,20.41,21.96
14,729,27,5.78,5.84
272,11895,1034,39.62,49.76
77,5588,285,20.01,22.57
5,189,0,5.0,5.0
45,1866,75,10.23,11.68
141,9749,532,22.27,28.44
44,735,40,6.08,6.03
430,45849,2934,59.69,77.21
12,459,2,4.98,5.08
37,1073,29,9.14,9.68
51,4002,92,15.17,15.49
4,592,4,2.17,2.2
73,4473,170,15.06,16.14
20,866,26,7.12,7.71
2,166,1,2.0,2.0
1,162,0,1.0,1.0
11,346,9,6.61,6.25
10,1530,9,6.05,6.22
28,1800,64,10.79,11.06
5,166,1,3.0,3.0
35,848,19,10.45,10.83
44,2418,120,16.2,18.24
10,915,6,3.76,4.02
46,717,40,10.65,11.21
44,4590,84,12.72,13.29
259,15602,877,46.01,55.08
6,270,3,3.17,3.13
27,515,13,7.13,7.75
44,4229,109,12.46,13.99
21,518,20,8.49,8.44
24,798,15,8.11,8.31
20,471,20,8.48,9.15
6,168,1,2.0,2.0
56,3005,184,13.63,15.64
97,10508,255,23.34,27.49
7,287,3,3.22,3.27
12,804,14,7.06,6.99
22,942,43,9.1,9.73
48,2009,108,16.39,17.4
48,1631,30,12.69,13.23
61,6698,58,16.13,18.61
4,268,2,3.07,3.12
26,1216,44,8.75,9.39
54,2159,109,18.51,19.44
17,641,6,6.19,6.01
151,20350,646,30.85,40.9
35,3278,57,13.93,14.76
13,701,6,8.64,8.91
1,162,0,1.0,1.0
36,1684,79,7.57,9.12
6,193,1,4.44,4.41
1,162,0,1.0,1.0
2,183,0,1.99,2.0
33,1048,113,8.26,9.98
97,3432,295,18.72,22.54
76,3099,111,15.71,17.51
24,3328,67,9.95,11.48
43,1155,45,11.16,11.56
17,359,14,7.59,7.84
24,245,27,7.51,7.75
11,332,16,3.95,4.17
2,289,1,2.0,2.0
27,1660,69,11.29,12.4
28,1329,16,5.51,5.99
3,339,1,2.16,2.03
18,1069,38,8.23,8.64
17,480,22,7.81,7.79
101,6375,369,20.03,23.64
10,324,8,5.88,5.64
126,10334,232,28.08,30.77
85,5144,337,15.84,19.24
32,1387,51,8.51,9.66
20,573,8,7.34,7.07
28,1222,89,9.42,11.47
17,1135,17,6.58,7.1
161,11670,627,30.01,36.27
169,8275,1207,28.27,35.67
118,1639,321,14.6,16.18
7,177,2,5.82,5.76
111,8396,386,25.0,30.26
13,438,27,5.83,6.18
15,2077,20,7.89,7.92
150,8315,945,22.6,31.9
5,183,3,3.97,3.94
57,2144,121,13.59,14.19
209,9871,621,28.81,33.41
57,2235,90,12.43,13.77
56,4412,167,18.05,19.09
57,1674,100,11.77,13.52
47,1945,133,13.28,14.96
51,2543,116,8.9,10.66
26,1103,27,9.24,9.59
16,2168,22,8.58,8.62
8,1050,11,4.99,4.72
141,5907,457,25.32,30.77
41,1148,125,13.83,14.64
4,20,2,2.0,2.0
85,1676,375,14.99,17.81
4,29,0,2.24,2.22
13,44,14,2.54,2.63
37,1045,65,8.75,9.62
1,12,0,1.0,1.0
72,2295,49,10.38,10.89
73,2566,45,16.67,17.53
1,12,0,1.0,1.0
1,12,0,1.0,1.0
129,1861,235,21.25,22.39
47,826,73,8.94,9.71
13,127,10,3.98,4.09
15,382,18,6.2,6.08
24,65,5,3.45,3.44
164,6072,435,25.68,29.76
201,7808,150,27.27,31.18
70,2044,96,16.69,17.55
34,485,30,7.54,7.71
415,11991,2372,29.15,42.67
12,247,10,4.97,4.93
12,174,20,3.95,4.01
6,102,5,3.91,3.87
22,470,34,7.35,7.47
7,214,8,3.63,3.79
30,1046,67,10.5,11.37
18,123,8,5.47,5.57
11,384,3,3.95,3.93
13,353,5,3.0,3.0
8,70,2,4.49,4.35
37,3007,40,11.7,12.67
29,1232,25,8.6,9.36
37,3942,86,11.82,12.64
11,326,3,4.34,4.38
21,731,18,7.31,7.43
1,31,0,1.0,1.0
18,336,15,6.22,6.09
3,48,0,3.0,2.97
5,118,0,2.34,2.3
4,110,2,2.0,2.0
15,435,9,5.57,5.63
1,31,0,1.0,1.0
29,2433,74,10.9,10.98
12,533,12,4.65,4.94
31,2972,72,11.68,12.26
14,396,7,3.93,3.99
2,32,0,1.0,1.0
12,696,8,4.83,4.99
3,68,0,1.81,1.87
345,7948,438,37.03,39.77
185,15540,261,43.65,47.96
104,3990,163,25.32,27.04
145,3848,119,24.32,25.08
27,583,7,8.97,8.83
366,22996,521,44.95,48.87
282,19593,559,40.28,47.24
514,10029,537,40.89,41.9
355,23527,751,41.8,48.45
391,18776,977,44.96,54.54
150,15129,302,25.84,30.0
194,17302,403,31.67,38.1
297,6408,292,31.17,32.98
17,504,5,10.82,10.93
121,6313,85,28.87,29.81
331,6488,625,29.67,32.74
128,7334,270,15.64,19.79
70,3114,111,13.27,15.41
74,1202,32,14.63,15.04
17,486,4,5.99,6.11
69,5304,101,22.98,24.13
117,5891,100,28.31,29.87
35,2400,41,11.59,12.03
224,15196,230,29.78,35.92
56,2761,44,11.41,12.7
97,8714,261,16.68,20.41
35,2161,26,8.99,9.67
47,3433,101,12.76,13.46
28,2166,40,11.0,11.4
542,144325,1335,40.64,56.7
26,1268,15,9.77,10.23
67,1773,35,12.55,13.06
49,1722,52,13.76,14.1
191,8186,658,24.11,29.79
127,19846,303,21.59,25.54
34,2437,50,9.61,10.14
271,55243,430,29.55,36.57
35,787,46,4.99,5.21
3,755,1,2.53,2.59
59,6792,154,18.68,20.49
65,1052,16,7.03,7.59
150,7755,143,21.89,23.43
9,252,8,4.31,4.47
20,458,20,6.0,6.42
14,908,13,4.24,4.53
99,2180,288,14.09,16.35
40,3288,30,11.9,12.13
5,136,2,3.8,3.83
1,31,0,1.0,1.0
1,31,0,1.0,1.0
33,991,54,9.5,9.98
45,267,20,7.03,6.6
244,17969,825,28.63,38.07
216,29337,763,32.95,41.93
12,520,9,5.33,5.46
7,389,3,4.5,4.47
8,287,3,3.8,4.0
1,87,0,1.0,1.0
15,2075,27,6.45,6.51
30,2276,22,10.12,10.4
5,182,1,3.87,3.95
51,2700,35,12.04,12.6
15,445,4,5.2,5.15
13,393,6,4.79,5.06
4,174,1,3.42,3.48
23,2040,29,7.96,8.18
22,3524,37,11.07,11.0
15,361,32,7.44,7.76
17,4306,17,8.25,8.53
27,7095,27,10.41,11.02
57,6872,82,17.9,19.29
51,908,34,9.21,9.42
198,17811,456,24.5,33.35
342,88546,1249,42.95,54.55
471,35022,2027,54.15,64.65
105,7867,114,19.68,20.95
332,65967,1136,64.09,78.08
32,2097,51,10.76,12.33
20,495,23,6.88,7.31
4,99,2,2.0,2.0
3,23,0,1.0,1.0
16,1067,34,7.95,8.1
2,22,0,1.0,1.0
42,4915,88,13.78,14.97
562,73970,3143,59.5,82.17
111,10347,360,18.71,23.42
405,40650,2146,51.39,67.28
1,56,0,1.0,1.0
7,534,6,4.01,4.01
6,82,4,3.25,3.34
1,56,0,1.0,1.0
11,535,8,4.74,4.87
2,63,0,2.0,2.0
13,799,9,7.85,8.05
26,2076,18,9.28,9.46
102,11778,258,18.68,21.16
3,85,2,2.02,2.03
157,18733,456,35.05,40.54
155,9592,743,22.1,27.35
10,42,3,3.04,3.22
6,37,3,2.46,2.31
51,938,80,9.43,10.33
7,96,13,3.92,3.87
303,21846,1493,50.18,62.17
4,15,2,2.31,2.35
138,7069,737,21.19,27.76
54,2401,160,11.41,13.04
4,112,1,1.56,1.51
2,11,0,1.92,1.87
235,10709,582,23.42,28.65
10,87,7,4.52,4.61
12,71,5,4.94,4.87
9,125,7,4.65,4.71
69,2954,96,19.52,21.03
89,1005,187,11.89,13.43
4,1,0,1.0,1.0
5,622,6,4.56,4.46
34,3809,50,11.87,12.2
21,1847,41,10.27,10.65
6,314,1,3.88,3.8
5,264,1,3.42,3.24
1,134,0,1.0,1.0
1,134,0,1.0,1.0
20,215,4,7.57,7.38
143,2779,126,22.92,22.73
10,331,4,6.14,6.0
1,134,0,1.0,1.0
13,364,9,4.57,4.96
6,181,2,4.57,4.51
98,3268,277,14.33,16.42
125,8778,529,29.4,39.09
36,2690,33,10.32,10.27
178,49548,670,29.65,39.02
567,68038,3191,54.17,80.38
37,2011,48,12.57,13.82
55,4335,101,16.94,18.71
15,186,7,6.02,6.21
14,393,15,6.98,6.98
27,3733,27,10.09,10.27
3,7,0,1.0,1.0
9,224,3,4.25,4.37
20,1977,38,12.11,12.01
23,813,16,6.89,7.45
21,279,6,4.54,4.43
20,639,10,5.11,5.32
40,2710,26,8.78,9.04
93,9382,366,25.35,29.71
38,2998,61,13.33,13.43
2,15,1,1.0,1.0
2,41,0,1.79,1.85
15,327,17,4.33,4.47
3,25,0,3.0,2.97
8,198,4,3.78,3.79
59,5660,310,14.51,16.35
5,161,2,4.0,4.0
8,249,3,4.55,4.77
31,3739,59,10.6,11.03
1,53,0,1.0,1.0
1,53,0,1.0,1.0
5,79,0,3.0,2.99
10,159,3,4.14,4.1
8,135,1,4.28,4.16
15,700,8,6.06,6.21
7,194,3,4.26,4.11
13,520,5,4.77,4.91
11,784,11,4.87,4.88
18,1170,13,5.65,5.87
14,2860,4,7.15,7.36
7,144,2,3.61,3.55
19,277,25,7.3,7.64
10,567,15,6.0,5.98
66,5339,208,15.22,17.7
434,65883,2961,58.06,74.86
339,78455,1119,36.89,51.76
170,6457,643,27.01,31.11
4,70,0,3.8,3.85
70,6503,83,10.8,11.42
177,26924,781,40.39,46.74
5,20,2,1.81,1.84
100,3236,594,20.42,24.43
25,414,40,6.66,7.24
86,2930,303,21.93,23.74
138,4595,534,24.24,27.3
18,3301,0,8.23,8.12
1,29,0,1.0,1.0
2,34,0,1.98,2.0
12,365,6,5.38,5.47
1,29,0,1.0,1.0
2,29,0,1.0,1.0
6,155,0,2.47,2.37
1,29,0,1.0,1.0
2,105,0,1.15,1.15
1,29,0,1.0,1.0
1,29,0,1.0,1.0
1,29,0,1.0,1.0
2,29,0,1.0,1.0
41,810,75,10.77,11.13
1,29,0,1.0,1.0
18,336,16,6.05,6.31
1,29,0,1.0,1.0
3,63,0,1.13,1.19
2,29,0,1.0,1.0
42,1052,52,9.87,10.84
1,29,0,1.0,1.0
1,29,0,1.0,1.0
1,29,0,1.0,1.0
1,29,0,1.0,1.0
73,1832,19,19.25,19.39
1,29,0,1.0,1.0
26,669,30,9.16,9.27
28,445,38,8.9,9.08
79,3056,93,15.1,16.96
2,13,0,1.97,1.96
1,29,0,1.0,1.0
54,2688,96,10.55,12.41
2,76,0,1.31,1.26
14,1123,5,3.94,4.13
37,2283,40,10.53,11.96
98,29141,190,23.69,27.84
8,94,3,3.36,3.31
21,305,42,5.6,6.09
233,19497,1116,37.42,49.37
1,41,0,1.0,1.0
13,292,7,4.84,4.75
8,533,15,4.79,5.04
13,673,14,7.45,7.39
75,3641,274,17.22,19.39
437,17998,964,40.59,48.09
114,8186,519,21.75,28.7
3,513,3,3.0,3.0
13,780,10,7.15,7.08
45,2987,240,17.42,19.31
54,3649,0,14.75,14.86
61,1055,84,13.55,14.45
85,6082,235,27.63,31.37
128,2854,200,23.62,25.77
55,3676,108,16.48,17.46
84,3083,109,18.02,19.79
3,513,3,3.0,3.0
10,801,11,5.12,5.02
60,5506,210,21.04,23.76
35,4088,101,13.72,14.4
44,4888,154,18.13,19.65
3,513,3,3.0,3.0
1,499,0,1.0,1.0
37,4108,111,13.37,14.4
26,3349,0,7.37,7.23
12,917,12,6.18,6.26
97,6614,328,26.16,31.34
16,827,24,6.59,6.52
19,1706,23,6.29,6.9
11,842,12,5.68,5.41
1,499,0,1.0,1.0
1,499,0,1.0,1.0
3,502,2,3.0,3.0
90,4221,301,22.14,24.21
3,502,1,2.0,2.0
1,499,0,1.0,1.0
9,772,10,4.99,4.87
128,1194,167,14.11,14.8
39,3316,60,14.55,14.98
85,5580,162,26.13,29.38
27,1148,28,8.82,9.27
11,777,6,5.48,5.61
26,1919,24,8.47,8.83
56,5580,205,20.96,22.56
29,2059,52,10.41,10.59
15,1015,13,6.91,7.0
163,7493,565,29.0,35.13
3,513,3,3.0,3.0
4,515,3,4.0,4.0
1,499,0,1.0,1.0
61,8112,205,20.64,22.73
34,1285,108,12.02,13.46
20,730,26,9.73,10.11
42,2640,219,16.84,17.93
5,541,4,4.0,4.0
51,5294,178,18.37,20.04
23,1174,56,11.01,11.45
171,3068,670,23.44,25.15
52,4741,134,16.01,18.24
52,4835,151,20.96,22.45
29,1113,27,8.48,8.73
56,7365,164,21.09,22.04
46,5032,160,18.47,20.15
15,614,8,8.38,8.33
2,511,1,2.0,2.0
80,2361,116,20.96,22.01
1,499,0,1.0,1.0
32,3020,56,13.33,14.11
66,1440,55,12.91,13.36
56,7451,154,14.36,17.43
13,653,11,5.77,5.76
74,9159,306,19.92,24.97
17,777,21,7.01,6.86
117,3176,187,19.34,21.56
4,537,2,2.0,2.0
2,509,0,2.0,2.0
48,5337,142,17.15,19.29
4,516,2,3.0,3.0
49,5412,180,19.32,20.99
2,501,1,2.0,2.0
3,513,3,3.0,3.0
4,530,3,3.0,3.0
52,3411,83,11.33,13.14
278,24149,1102,41.92,52.44
18,749,31,4.93,4.95
2,69,1,2.0,2.0
62,12902,46,16.16,17.29
4,188,4,2.0,2.0
56,2775,59,10.3,11.47
18,259,14,5.7,5.61
5,415,0,2.27,2.29
42,1277,12,12.12,12.26
39,1204,0,12.6,12.51
116,6453,70,22.49,23.85
2,69,1,2.0,2.0
10,189,14,6.31,6.24
2,183,1,2.0,2.0
4,329,2,3.77,3.64
1,65,0,1.0,1.0
259,8800,854,30.19,35.63
61,1374,40,10.66,10.96
191,10854,649,27.95,35.97
85,4133,103,18.69,19.54
91,9895,236,17.24,18.81
279,58373,1239,36.98,49.29
21,675,26,7.0,7.0
5,290,3,2.96,2.99
21,259,12,9.05,9.07
5,152,9,3.02,3.01
31,1430,33,8.96,9.27
4,77,2,3.03,3.09
12,903,14,6.09,6.36
31,880,25,10.51,10.19
106,9950,111,23.64,26.64
69,6446,199,16.79,18.96
217,36455,1036,34.81,46.27
53,12524,174,19.41,21.12
7,131,0,3.67,3.68
7,438,2,3.48,3.56
2,25,0,1.37,1.45
263,62722,610,37.68,48.07
2,52,0,1.04,1.02
17,203,16,5.32,5.45
1,12,0,1.0,1.0
4,40,0,2.16,2.11
178,9811,177,21.39,23.93
23,2081,30,7.82,8.33
4,94,3,2.0,2.0
19,2087,22,5.43,5.46
1,34,0,1.0,1.0
14,307,3,3.43,3.24
121,9793,52,22.14,23.02
15,454,7,3.81,4.06
46,5055,45,8.24,8.58
32,1369,19,10.84,11.3
16,531,62,7.2,7.72
43,1067,77,9.69,10.12
17,151,19,5.67,5.96
94,3377,274,17.09,19.93
77,1880,128,13.96,15.16
179,10672,1206,29.86,37.94
158,12259,971,28.86,36.44
56,1144,169,12.88,13.92
37,2285,68,9.68,10.05
145,4558,483,22.69,26.77
208,11657,1015,32.71,38.71
52,1638,63,15.85,16.59
436,22521,3757,50.13,60.7
74,3421,276,20.87,23.08
51,2961,330,15.79,17.56
247,20332,429,40.12,46.18
48,2020,127,9.47,9.98
201,12217,828,31.23,37.29
500,35311,2306,61.59,74.94
114,7547,419,24.74,28.96
256,16218,1837,37.1,45.39
327,22774,3421,44.46,60.31
341,19380,1298,47.83,56.27
10,523,5,4.31,4.39
6,711,1,3.14,3.2
2,59,0,2.0,2.0
13,421,1,2.01,2.0
13,561,2,4.94,4.87
16,1191,11,5.82,5.99
26,1249,42,10.16,10.77
13,502,9,4.73,4.89
7,437,2,4.11,4.13
1,23,0,1.0,1.0
13,513,13,4.2,4.23
2,32,0,2.0,1.99
27,1640,26,6.99,7.41
111,4157,155,21.56,23.69
103,29991,343,22.49,23.68
75,13380,166,16.03,17.75
933,43588,3847,80.48,90.59
691,106182,2311,63.28,88.88
130,30294,358,20.12,22.73
9,137,12,4.79,4.81
501,16636,1047,65.03,67.63
2,4,0,1.24,1.26
2,14,0,1.0,1.0
1,0,0,0.0,0.0
29,193,13,6.75,6.87
1,0,0,0.0,0.0
1,0,0,0.0,0.0
39,2004,122,10.95,11.32
8,90,1,2.83,2.88
17,164,12,4.81,4.76
4,38,1,1.98,1.96
14,157,8,4.25,4.29
11,235,4,3.26,3.46
5,252,1,3.12,3.19
8,256,5,3.86,3.95
11,1096,6,5.02,5.03
27,873,25,6.89,7.13
5,67,2,2.85,2.63
2,68,0,1.54,1.48
163,17767,517,22.4,30.37
45,2700,54,12.93,14.32
205,17750,753,27.62,35.83
60,3633,137,10.34,11.69
5,82,1,1.75,1.85
26,472,35,6.71,7.19
9,85,5,2.85,2.91
7,44,0,3.68,3.72
2,19,0,1.99,1.96
3,23,1,1.92,1.92
23,734,35,7.11,7.6
1,16,0,1.0,1.0
2,16,0,1.99,1.99
1,16,0,1.0,1.0
1,16,0,1.0,1.0
49,1973,74,11.17,12.3
60,1445,238,13.3,14.63
220,17954,1098,38.71,47.08
68,2353,171,16.82,18.06
63,3789,136,13.21,15.46
214,18377,748,31.94,37.03
189,5955,630,20.11,25.66
105,5315,212,18.95,21.38
73,7287,238,20.2,23.15
82,6374,328,20.3,25.66
16,1028,6,7.41,7.63
9,573,5,3.63,3.61
111,2995,337,25.15,25.91
140,3871,471,24.16,28.05
180,14763,574,36.08,43.97
129,5792,267,30.9,33.78
59,3081,106,20.68,22.36
105,5752,628,28.96,34.3
60,1880,233,13.41,15.67
3,543,1,2.0,2.02
692,57010,2781,59.84,76.18
79,2343,239,14.66,18.26
170,4521,588,31.06,34.44
37,1090,102,12.29,13.11
4,238,2,3.0,3.0
15,764,28,7.36,7.79
7,1254,8,5.2,5.16
15,415,5,4.5,4.6
2,92,1,2.0,2.0
21,1991,28,8.35,8.43
2,69,1,1.99,1.98
21,823,18,7.78,8.31
2,92,1,2.0,2.0
6,93,0,4.89,4.82
2,92,1,2.0,2.0
3,103,0,2.68,2.73
22,1540,23,6.49,7.12
12,516,12,3.39,3.49
28,1088,29,8.57,8.99
2,720,1,2.0,2.0
1,54,0,1.0,1.0
15,1768,6,6.68,6.61
6,782,2,3.35,3.38
6,228,1,2.8,2.71
14,1000,7,6.8,6.75
1,54,0,1.0,1.0
1,54,0,1.0,1.0
19,1488,6,6.57,6.82
1,54,0,1.0,1.0
13,581,3,6.32,6.36
52,4623,93,14.0,14.9
30,3038,20,7.56,8.47
93,2570,281,21.4,23.68
5,112,1,3.0,3.0
3,368,1,2.59,2.62
47,2912,101,16.56,18.48
23,654,19,7.32,8.14
24,1852,28,11.84,11.85
27,2611,18,8.52,9.08
11,360,3,4.0,4.0
30,1402,26,7.65,8.13
27,752,30,8.7,9.62
25,2289,20,6.83,7.0
23,3540,10,9.39,9.35
14,594,5,3.54,3.7
80,12643,184,15.34,16.95
53,3149,117,10.5,14.03
1,54,0,1.0,1.0
40,3696,23,9.2,9.47
21,598,38,6.44,6.41
153,10840,592,24.77,29.35
229,11948,404,31.44,34.38
80,8476,61,22.29,23.09
42,5561,101,14.05,14.73
84,8329,228,20.48,24.34
5,36,0,1.91,1.94
4,26,0,1.6,1.58
9,156,9,4.0,4.01
3,11,0,2.17,2.07
50,1022,48,10.55,11.14
16,334,7,4.44,4.65
8,335,2,3.44,3.34
3,11,0,2.2,2.16
93,3834,663,15.62,21.2
129,5117,286,20.9,25.46
17,509,15,5.25,5.65
102,4326,267,14.29,17.73
58,843,40,15.55,15.98
12,823,5,4.05,4.02
8,175,2,3.34,3.24
7,235,5,4.08,4.04
8,112,2,2.92,2.88
6,131,2,3.85,3.75
4,67,0,2.12,2.16
4,72,0,2.0,2.0
28,1899,32,11.19,11.42
7,168,1,3.75,3.7
1,31,0,1.0,1.0
7,182,2,2.73,2.78
76,1836,53,17.19,17.74
22,239,34,6.06,6.29
11,649,10,5.11,4.93
31,2338,24,8.48,8.37
32,1314,22,8.9,9.71
30,682,16,6.1,6.14
88,11083,200,21.07,22.71
54,2614,185,12.11,14.0
254,23152,681,34.18,42.76
52,6956,105,11.83,13.17
17,809,32,5.86,6.5
28,1072,29,7.51,7.9
26,1486,51,7.61,8.54
27,309,48,6.31,6.39
62,1041,252,10.74,11.9
12,325,11,5.73,5.77
6,161,1,3.43,3.52
52,4629,68,14.33,15.26
11,231,5,3.72,3.61
40,595,67,10.25,11.53
54,2491,50,15.0,15.54
37,2880,66,7.89,8.9
203,20381,1001,39.05,50.23
40,1770,37,10.13,10.55
36,1243,57,11.18,12.12
75,4850,102,17.74,18.27
37,1510,60,10.21,11.11
16,399,20,5.08,5.33
203,5461,304,23.66,25.62
644,81347,2279,50.28,68.67
202,14774,458,34.07,39.51
254,11565,656,36.8,42.03
14,821,16,4.78,4.74
2,20,0,2.0,2.0
3,34,0,2.99,2.99
8,332,2,4.36,4.38
23,1353,50,8.11,8.55
4,108,0,2.07,2.05
5,86,1,3.21,3.12
3,58,0,2.41,2.26
2,20,0,2.0,2.0
12,150,2,4.15,4.07
22,2619,20,10.12,10.11
2,20,0,2.0,2.0
4,143,0,1.48,1.42
12,572,10,3.29,3.72
5,63,1,2.45,2.44
2,20,0,2.0,2.0
2,20,0,2.0,2.0
6,77,1,3.18,3.2
2,20,0,2.0,2.0
27,1281,43,9.64,9.78
19,462,9,4.62,4.99
6,74,1,3.0,2.85
26,5270,24,9.3,9.47
4,76,0,2.1,2.09
2,20,0,2.0,2.0
8,125,1,3.56,3.59
22,525,37,6.55,6.75
47,2508,40,9.67,11.14
6,105,0,1.41,1.4
2,20,0,2.0,2.0
8,309,2,2.39,2.45
16,961,5,7.33,7.44
12,349,5,3.66,3.77
13,193,6,4.97,5.08
143,5537,738,26.71,33.61
46,5249,99,11.13,12.24
77,5655,160,13.7,15.68
9,2313,0,4.06,4.15
301,52142,976,46.71,56.73
390,57835,1584,42.12,56.31
27,589,92,9.93,10.79
31,934,86,10.52,11.65
26,577,65,10.53,10.92
5,108,7,2.8,2.88
3,104,3,2.0,2.0
24,669,80,10.35,10.8
1,36,0,1.0,1.0
65,1727,129,15.31,16.45
4,49,1,2.79,2.75
4,40,3,2.0,2.0
14,235,14,5.38,5.61
6,44,6,2.66,2.66
2,37,1,1.99,2.0
95,3262,543,20.05,24.95
94,5112,721,21.22,29.03
86,2726,276,15.36,18.2
1,36,0,1.0,1.0
128,5378,512,22.2,26.49
67,822,0,12.97,12.98
2,41,0,1.88,1.85
14,90,17,4.16,4.39
111,5687,648,26.06,33.85
10,71,6,3.5,3.49
19,771,26,6.5,6.45
2,14,0,2.0,2.0
890,35182,1759,74.0,84.14
41,1757,20,12.3,12.51
124,2848,79,18.45,19.55
92,3303,337,20.33,21.75
18,729,23,7.69,7.9
4,52,6,2.97,2.83
22,626,24,7.63,7.97
2,101,1,2.0,2.0
83,2485,192,16.66,18.01
96,1443,171,16.19,17.57
99,6318,269,27.92,30.78
91,2662,115,18.35,19.77
299,19165,958,51.53,60.25
6,2277,0,2.35,2.42
77,5489,72,25.65,27.83
12,378,17,5.29,5.12
12,497,18,5.97,6.21
5,113,3,4.98,4.99
5,323,3,3.75,3.74
13,993,50,7.02,7.18
82,5422,137,18.44,20.63
37,2298,126,12.87,14.13
254,12145,827,36.96,43.37
11,774,12,5.29,5.43
2,102,1,2.0,1.96
30,985,26,9.03,9.02
3,132,1,2.0,2.0
19,713,20,8.03,8.24
1,81,0,1.0,1.0
10,318,3,3.19,3.23
2,82,1,2.0,2.0
2,203,0,2.0,2.0
19,410,6,6.45,6.47
2,82,1,2.0,2.0
12,220,11,5.59,5.94
327,29211,2386,45.31,59.19
107,7426,257,18.09,21.06
345,55709,1822,56.27,71.29
45,3107,61,9.23,9.92
30,1821,32,8.83,8.86
139,20441,482,28.28,32.4
71,738,0,12.37,12.24
104,11633,465,21.38,27.1
162,9864,777,28.44,37.58
37,686,95,8.41,9.11
39,674,82,8.77,9.44
356,15853,2028,36.15,44.7
26,345,26,6.19,6.62
26,422,17,7.38,7.45
24,320,21,6.02,6.29
46,683,34,7.64,8.62
9,105,3,3.71,3.72
69,2446,90,14.13,15.66
203,6461,614,28.57,31.59
36,17421,61,10.13,10.4
43,7096,44,8.9,9.4
26,332,24,11.74,12.18
32,15356,14,10.03,10.03
26,8890,18,10.38,10.84
8,70,1,6.31,6.29
10,6158,2,5.86,5.99
126,1284,209,13.9,16.22
21,101,14,4.35,4.32
107,39126,312,24.24,28.65
68,1016,72,12.82,14.26
888,24942,5236,68.25,76.8
56,5551,104,29.68,27.39
72,11901,72,34.3,34.74
23,233,11,4.85,4.7
41,4769,44,23.0,22.99
48,5710,81,16.0,16.0
49,5053,52,24.49,23.53
30,120,5,5.9,5.83
106,1050,39,14.51,15.08
38,398,9,8.98,9.38
42,365,15,9.73,9.47
137,7505,294,29.42,37.01
99,1446,196,18.66,19.58
15,71,4,5.09,5.02
9,123,1,3.0,3.0
119,931,71,13.17,13.52
131,15335,250,38.3,40.45
37,18615,56,13.74,14.04
9,296,4,8.99,9.0
67,13062,162,26.78,26.88
27,5525,45,11.0,11.0
38,389,9,9.18,9.17
52,1037,22,14.45,14.48
141,8026,113,33.94,35.8
